1
100 100
-75	-10	-77	-86	-65	52	96	-61	-98	88	-79	10	-65	-37	-95	-75	-92	29	-13	65	40	66	-10	82	-96	-86	33	100	16	-80	-52	-26	-55	51	56	-75	-7	-65	26	-94	-89	31	1	-17	-95	3	-14	-37	40	-88	18	-23	98	45	-7	-58	59	-16	-8	80	-24	87	77	96	-3	-34	13	58	24	23	89	48	-41	29	-38	-39	26	-67	-33	-93	56	17	90	95	-2	-23	94	75	-95	3	48	61	68	-99	-14	-36	66	13	-91	-55
-46	33	-20	100	-90	-54	-41	90	18	-21	-58	-87	32	73	-75	23	-76	-99	-49	18	28	7	-46	94	76	-58	-9	-42	25	70	39	23	43	-78	-100	-36	36	-1	0	-99	84	73	78	-68	17	-4	-63	79	-86	95	-61	-78	-62	61	-48	-2	-63	74	-54	-85	40	-38	-59	-28	-29	-45	-45	-58	28	-54	71	-92	89	-61	89	-94	-74	-76	-68	47	77	-72	-2	99	-99	-39	-47	-25	-38	83	70	-58	92	62	-68	78	-99	57	-70	-99
-11	-47	-82	83	92	-54	-28	-60	79	35	4	-50	95	-3	-32	-10	81	96	-39	79	46	-77	37	48	35	-4	-64	-98	51	-28	-12	86	75	-65	21	29	73	-21	54	-35	88	7	71	-24	-15	62	-2	91	44	22	62	45	50	74	-20	-78	74	14	-50	25	53	8	92	46	97	1	-86	85	-18	86	61	70	-94	-87	-63	-88	67	91	-31	2	-62	-43	-75	-76	81	-2	74	48	-47	-27	-53	33	49	-59	69	24	22	-91	52	-20
55	-65	-53	-17	-31	-58	-70	-48	40	5	44	60	87	17	17	-70	-34	-14	-96	-90	-90	93	-31	-43	-3	-20	29	-30	-94	29	11	-79	27	-80	33	21	-44	65	-89	-12	-51	43	-62	-26	1	43	-6	5	-30	49	91	-52	-29	15	-20	80	-38	94	5	-45	19	-58	-94	13	42	92	-47	-35	85	32	-69	66	88	4	17	6	97	-85	1	-43	75	91	-44	-86	75	-75	62	-93	65	79	74	17	17	23	82	89	-71	-2	-45	-56
88	-69	-30	30	-65	81	-39	71	72	-82	73	-29	98	-86	-27	-73	76	-90	-95	-30	-33	34	93	-79	-87	-96	36	-76	-90	-50	-47	-52	-48	-71	-2	-49	41	81	93	-65	66	86	-41	10	-99	-66	53	-81	-80	-70	-8	-35	-64	-49	14	-6	25	-23	68	-40	16	-62	-31	-50	-66	-20	-46	-51	-21	-87	66	49	17	-83	-98	-31	90	-14	5	91	-38	-2	-43	-71	-12	67	-35	28	39	-11	2	-92	33	81	-86	83	-17	-77	-82	-27
95	-11	15	-34	-14	-53	49	93	-48	80	45	74	48	-39	100	71	52	81	-19	99	-99	40	-60	-25	57	17	-24	33	17	-83	-51	14	45	76	-59	26	-96	-26	92	-14	87	-44	62	6	33	6	-36	-39	-18	-98	25	87	45	-34	-88	-25	-83	93	-16	3	-32	-68	78	-20	23	97	-76	66	79	98	-82	-73	-25	-31	20	29	-55	-33	66	46	-53	68	96	66	12	49	-78	-69	-63	-77	22	-16	-54	48	-77	-42	-58	20	-54	-64
43	-86	-97	12	-61	88	-54	-15	-80	91	-60	21	-27	-30	52	-86	-48	9	52	-80	6	39	-25	-1	-75	-23	20	-5	-33	-18	3	29	-90	-14	62	-83	-74	37	-19	-57	-29	-46	93	-14	84	-25	-86	-83	-85	46	-15	65	72	-1	71	22	-18	-29	-38	73	-89	72	94	-54	26	-14	-23	40	-63	-22	-9	83	-88	62	97	11	6	-25	3	-99	-33	74	-39	26	19	87	-91	86	29	17	-63	71	64	-75	-2	72	-10	-49	-84	-42
47	-67	-69	-24	46	-46	44	56	-16	64	-88	-42	-31	17	-93	-31	19	-87	1	70	-66	20	-13	44	71	-8	-79	-1	14	-40	100	-64	-73	25	-51	-33	-75	-37	20	-98	-8	31	-33	-34	93	-37	60	54	-13	39	6	-28	-38	-65	83	84	32	45	51	62	-74	10	42	62	-71	-99	97	15	-67	-97	-94	-67	98	16	58	20	96	-56	85	-91	19	63	15	19	-34	6	-64	2	71	-73	-62	-47	78	34	-26	64	42	-3	85	30
60	60	85	-51	-11	24	-44	42	-29	57	-18	61	-54	-76	-48	-27	59	5	87	-35	-29	97	31	81	-45	-74	-72	-17	-40	95	-96	41	-72	-88	-14	-4	59	-56	-35	31	-42	16	-78	19	-74	49	23	-82	-83	-85	-13	35	75	-13	-41	88	72	-8	-93	61	72	88	-8	53	-87	82	-57	82	-98	-89	52	-31	-28	59	41	-77	-81	16	-30	43	92	57	32	58	49	-24	-100	14	83	47	-27	-38	-68	-22	-20	-18	64	98	1	-89
-65	37	40	60	-21	27	96	7	0	21	-100	-34	-93	49	-40	12	-12	94	-36	61	-82	77	80	48	25	-65	-41	-82	31	81	64	-53	16	-53	-57	73	96	-28	41	-84	-73	-73	-98	85	-7	-50	-10	-58	35	-77	-34	-39	37	49	17	-7	49	21	61	-86	-38	-34	-20	45	90	-38	69	-61	-66	-47	-96	41	9	-96	-31	51	-2	46	-95	-27	39	-87	83	-92	93	27	43	44	77	8	6	-13	1	38	58	-37	19	99	-70	68
-70	-22	-33	-32	-78	29	-55	71	-4	-61	80	43	49	-30	30	96	90	47	30	-1	-60	-56	-52	74	61	3	75	86	-47	-16	-5	35	-57	-97	76	18	100	14	-22	-85	67	64	-73	-98	66	-48	-77	-63	7	-74	11	-21	-41	64	-59	60	68	31	-36	-66	47	32	17	-30	87	-7	69	-34	16	97	-91	98	81	-83	-72	88	-48	-86	-33	-87	-20	-47	-40	48	-77	-72	-30	-85	70	-82	15	-46	82	66	44	34	7	-87	-89	-42
-100	7	22	34	73	32	-89	-13	-17	88	55	62	-100	-58	52	-90	-80	-22	-18	26	42	68	-25	4	-28	100	90	92	13	-64	87	74	62	-56	68	-43	-30	-51	20	-22	-23	59	-3	-18	97	-75	-6	-24	45	-22	25	-16	-12	-88	-99	-50	2	30	-29	48	-47	1	90	-37	-98	-73	-65	30	30	-37	83	-94	-31	-88	4	72	-12	63	85	-54	95	91	-35	-49	6	-89	-96	57	-24	-84	19	-96	-28	-7	57	9	89	-70	13	19
12	-79	18	50	-77	-19	-52	-68	-69	4	17	-45	-1	34	-19	8	-73	50	96	-40	68	-45	93	-51	56	-27	10	-43	-75	66	51	-5	-61	24	79	-31	93	36	-55	-34	-30	13	-39	-44	-61	-70	-62	13	52	3	0	-87	-32	-29	-47	52	-25	32	-87	1	-80	24	-43	-100	48	-89	50	-31	-99	26	74	86	66	-91	9	27	-36	81	-24	6	68	-91	41	-5	-21	-77	69	40	58	66	-68	68	59	21	-50	74	-44	-78	13	-24
-88	-37	83	-4	-66	-98	-57	45	72	-12	-24	9	73	87	7	-40	12	-89	28	5	30	-53	-57	7	-21	-25	91	-85	-26	-3	7	21	58	97	73	-1	75	-63	90	48	47	55	-42	-47	-63	21	66	47	-32	9	-37	47	11	35	-78	88	-16	-84	34	13	-90	-12	-18	8	-78	-89	32	62	6	0	6	-52	25	35	-64	69	-31	-86	45	-92	26	-14	54	17	-9	-25	-91	0	66	-28	39	-43	21	55	-70	37	55	47	-75	9
-15	40	4	-83	-30	94	-41	-44	5	-49	69	-84	11	17	-18	-20	67	-46	-97	-19	90	64	-61	65	60	87	-4	-51	-37	39	60	52	-41	28	-20	70	-61	-57	54	-48	55	-11	99	-30	8	12	95	43	66	82	37	81	-26	6	94	68	47	89	11	21	-48	11	-18	55	-93	-93	25	7	65	26	-16	75	13	36	-15	95	-27	19	-85	-27	-89	-55	26	-95	31	-53	60	0	3	-17	-13	46	22	18	15	20	-37	16	-20	95
